Vertices	Time(ms)
50		27.07
100		101.95
150		203.81
200		379.49
250		1110.05
300		1539.67
350		1115
400		1728.87
450		1850.17
500		2237.03
550		2438.51
600		2947.39
650		3334.24
700		4390.6
750		4651.81
800		5329.17
850		6426.69
900		6617.67
950		7099.08
1000		8398.58
1050		8542.43
1100		9641.58
1150		11394.5
1200		11463.9
1250		12761.9
1300		13488.4
1350		15449.3
1400		15419.4
1450		17046.4
1500		18481.5
1550		19086.4
1600		20552.7
1650		22233.5
1700		23126.6
